,id,ind,region,agg.id,agg.regions
0,0,1974326.371,Chaouia - Ouardigha,3,North Atlantic coast
1,1,2169988.676,Doukkala - Abda,4,South Atlantic coast
2,2,1619119.593,F�s - Boulemane,5,Northern Atlas
3,3,1970567.115,Gharb - Chrarda - B�ni Hssen,3,North Atlantic coast
4,4,5475043.909,Grand Casablanca,3,North Atlantic coast
5,5,468926.5607,Guelmim - Es-Semara,7,Anti Atlas
6,6,203392.7175,La�youne - Boujdour - Sakia El Hamra,7,Anti Atlas
7,7,3603599.822,Marrakech - Tensift - Al Haouz,4,South Atlantic coast
8,8,1812263.424,Mekn�s - Tafilalet,5,Northern Atlas
9,9,2208003.505,Oriental,2,Eastern Mediterranean coast
10,10,2493853.083,Rabat - Sal� - Zemmour - Zaer,3,North Atlantic coast
11,11,3436055.586,Souss - Massa - Dra�,6,Southern Atlas
12,12,1587822.58,Tadla - Azilal,6,Southern Atlas
13,13,2973245.413,Tanger - T�touan,1,Western Mediterranean coast
14,14,1944426.68,Taza - Al Hoceima - Taounate,1,Western Mediterranean coast
